node,cluster,x,y
3RRutledge,0,2.9750974,4.2106786
3Serag,0,1.4255029,2.8775592
3_coins,1,-6.298943,10.607503
3_i_n,4,2.1233997,-12.60916
3hicksawoods,0,2.2135248,0.9909925
3inawy20,1,-6.421149,11.080624
3rdbaseSam,0,3.7899456,4.8000374
3than,0,3.8664126,5.033463
3under3,0,0.8657686,2.9867666
3waishh,1,-6.685758,10.711129
3washe_alsweedi,1,-6.4418445,10.688069
413_og,0,1.5350895,5.6768007
420meds2,2,-3.3354475,-10.672012
423ZB,0,3.6097665,3.172682
42Sz40,3,12.345783,2.4245975
4576emono,0,0.49174365,2.448047
45HarisonHarold,0,11.505761,1.8329002
45KR_Jr,0,2.0035014,2.126474
45OutVia25,0,0.7407213,3.4717636
45isImpeached,0,0.38121265,4.693962
4761a995554645f,4,13.003961,-10.067444
49nersutefan,0,2.322394,3.239728
4EverSNP,5,5.251516,14.8660345
4Gin4Fan4Ever4,0,-0.00067591114,3.1589203
4Lyfgozon,0,3.734816,2.9697237
4Mccollum,4,6.9695544,-16.62044
4Spaniels_5,0,1.2851499,4.5484366
4_DeadInOhio,3,12.382777,5.2113376
4ahealthyhabit,2,-3.2620368,-10.602321
4counting,0,3.372686,3.5998037
4eebd9613de3404,0,3.8532238,3.232655
4everNeverTrump,2,-6.6477823,-5.438316
4everageekgirl,0,2.1339579,2.812822
4got10American,0,2.7229714,5.5104527
4mSingh,1,-7.4100027,10.640676
4sutq8,0,3.1041932,2.6352901
4team_europa,2,-9.739636,-5.0095434
4wardthink3r,0,2.0910902,2.5464542
501China,0,3.2178013,3.8608263
5075Ileana,0,0.4898556,3.9284406
50grey50,3,12.1556225,3.66965
50karatdiamond,0,3.554459,1.8515671
50smag,0,1.8506968,5.571103
5141quid,6,-15.387279,2.0130143
514Eddie,2,-9.5960245,-5.5400867
5150timez,0,3.203245,4.340792
530Nicu,1,-7.064336,11.122124
5455km629,0,1.9962808,4.2233567
55DoxMom,0,1.8051306,2.5722346
55andwhat,7,-5.124239,19.03107
561Pamela,2,-9.909093,-5.2974105
56blackcat,2,-3.9815469,-16.300222
59Krog,0,4.671858,3.7460117
5_4_3_GO,2,-9.464194,-5.273083
5fec93919a544d3,3,12.435734,5.2659183
5ohDavid,0,2.1709576,4.967696
5u5an18,3,11.01949,5.128199
5weetxPeaches,0,2.7807138,4.7095037
601mech,0,2.0317206,1.6130129
60andover,0,1.3569921,1.6620526
618hoodoo,3,14.542462,12.611253
61JZ,3,13.363715,2.4673305
62Antone,0,0.783424,2.8180377
63Bowen,3,12.211985,3.6618786
647_416,0,11.161555,2.6720526
66camshaft,3,12.215219,3.685572
67Aspirintype,0,0.65793604,4.411067
67Snowy,0,2.1900375,2.37444
67dfm,0,0.82774043,2.4669495
67donnalynn,0,4.208974,3.5043747
69Bagle,0,2.372105,1.76324
69damon420,0,3.4626212,2.964863
6MGS7,0,1.3597792,3.998411
6_farm,2,-3.6438315,-10.65292
6_size,1,-7.29028,9.963117
6amerBr0,0,0.37481567,2.7882612
6bottoms,0,1.5390823,3.3032403
6nsinvt,0,0.93587476,2.028513
6runos,1,-6.8963547,11.228934
708Diogenes,0,4.037131,4.8006845
716_voter,0,1.0196027,4.7622914
738PeTey,0,1.2039602,3.92738
73SNAngel,3,14.558252,12.646502
757747544,4,4.0400662,-10.374084
777Khyros,0,1.5623946,1.966034
777Nicky,1,-7.1762166,11.006921
777davinci,3,19.393448,4.8478966
787Velez,1,-6.622831,10.708401
79topper,3,14.555659,12.600184
7I00l7,3,11.808986,6.7041674
7__vee,1,-7.2852755,10.67669
7bottlecaps1,2,-9.475724,-5.147175
7f5207ce6faa41d,1,-6.550738,10.54792
7kait9,0,0.83941907,3.5832763
7r0uble,3,12.186381,3.5925062
7raizi,1,-7.1153345,10.9433565
7ringscarlos,0,2.0140626,2.3759851
80rockstar,0,3.0794926,2.8914673
82288Cowboys,0,3.0886385,4.017265
86GOPFascism,2,-3.5482965,-10.562153
86_45_2020_ok,0,1.5285708,3.0195487
8a8y8ees,0,3.0422063,4.995338
8f33233ed8bc489,0,0.18877225,4.2621355
8pointedstar,0,4.5339737,4.085143
9114ed07e071451,1,-6.572105,10.128292
911Amelia,0,9.895119,3.6513855
91Walt,0,-0.19761953,2.594616
92AcuraGSR,0,1.8090361,4.4002314
92ZId3wUSDVueke,5,10.495657,7.879866
930Henrique,0,0.57808805,4.1492085
938boomer,0,3.9001184,2.6841109
93ip,4,4.049963,-10.389038
94K_Followers,3,12.408195,5.312019
978_962,3,11.190086,4.382373
978stargal,0,6.701552,0.9956278
97Samah,1,-6.464161,11.09915
9876bonbonqueen,4,4.0511336,-10.385722
9ATransport,0,2.2351165,4.551921
9CZb0iBhtjUZFJu,1,-6.8564205,10.459577
9Joe9,3,19.391335,4.8462334
9th_sense,1,-7.572095,10.347452
9xSuspended,0,2.5976164,3.1614642
A11223382251384,1,-7.147428,10.491723
A1Nuski,0,3.6914525,2.4465172
A37_AS,1,-6.6079783,9.884875
A49792004,3,20.333149,13.181762
A6EbKXdaABJa959,0,1.4389799,2.0097926
A8420S,0,0.33519664,2.8462539
AA43351740,3,10.469233,5.8991423
AACToni,0,3.213324,4.378468
AAMIR06580,1,-6.979372,10.28487
AAlqaisi999,0,2.3175542,4.9203434
AAnngie,0,2.4520013,1.987428
ABCDAP,0,1.5351979,4.345443
ABCHK12345,4,4.039861,-10.35362
