node,cluster,x,y
ArtMeeks,1,-8.426167,19.016487
Art_by_Talitha,1,-8.436972,19.005148
Artificialbra1n,2,-36.409645,57.37644
ArumughamVinu,0,5.027599,-21.040003
AsadLonePhD,2,-8.598976,46.83611
AshaBhavik,1,-10.191421,10.139364
AshleyResistNC,0,3.425537,-8.673086
AsianetNewsEN,0,5.492262,-23.978563
AskMssDidi,2,-35.949085,56.067463
AtifAkr43652524,1,-8.827219,27.240107
AtomicPunk57,2,-35.799095,56.04968
AudreyJarvis,1,-6.983154,11.714731
AuggieAnthuvan,0,4.2254386,-7.3106484
AusKoalaXPress,1,-8.924023,27.16606
AusPosers,1,-6.9709463,28.314474
AwaazToday,1,-6.6783476,28.893839
Ay5e1,2,-35.75846,56.127445
AyrshireBog,0,4.960067,-23.834797
AyyoAyaz,1,9.634783,5.5980363
B1G_BAZ,1,-9.957988,10.418123
B3throx,0,5.1022334,-23.82461
BARTVARGAS,2,-8.245333,46.756718
BBoullion,0,5.697769,-23.98975
BCMDeptMedicine,0,4.283994,-7.466761
BCNewsWire,2,-35.942524,55.995857
BCWaterNews,2,-34.391426,56.42286
BGHeaven,2,-36.10918,56.039165
BIGDOGLOVER2,1,-8.467139,18.974934
BIRD_EYEVIEW,1,-9.954273,10.306767
BJ01123,2,-8.6931,46.548462
BLPP_Leader,1,-6.1564007,28.481247
BMA_NI,2,-36.11573,56.016937
BMo2xl,2,-36.26303,56.670975
BMore_Healthy,0,2.1332798,-18.035809
BNN_Breaking,0,-10.152214,-7.3524246
BNaeece,0,5.578833,-23.892471
BRASIL_ACABOU,0,1.9804924,-9.616879
BRAVENEWEUROPE1,1,-5.989352,28.345802
BRMac6,0,19.917244,-8.852915
BSDhruw2,2,-35.980865,56.042473
BT_IND,2,-36.003944,56.014275
BT_India,2,-36.062126,56.012264
BaaghiTV,1,-7.513315,29.140081
BaharBharat,0,1.9664766,-9.672183
Bahariran7,1,3.2363794,19.409092
BalbanSingh6,1,-7.5959907,10.85106
BaldwinRE,2,-34.611168,55.9366
Balind8,0,4.328103,-23.603312
Balnagowan67,2,-33.870453,57.726677
Baltimorron,0,5.3272543,-23.909527
Barbara96913515,2,-35.769966,55.98609
BarbaraCalvari,1,3.6250153,19.20049
BarbaraWallen10,0,4.3688774,-23.356815
BarbieSnow6,0,5.234909,-23.340136
BarnBurnerNET,2,-34.65037,56.098602
BaruahReal,0,3.277043,-20.28812
BaruchMarxe,2,-8.039525,46.589085
BasuAshis,1,2.2021508,19.115547
BaylessMarilyn,1,2.192754,19.091963
BcTechie,0,5.521525,-23.893883
BeanK511,0,4.482882,-23.036072
BeautifyData,2,-36.05142,57.6563
BehaniPragati,0,4.894615,-24.046364
BelTel,2,-35.67912,56.193558
BeltxaAreta,0,19.944792,-8.823192
Beniwal_Nimbu,0,5.2059736,-23.947813
BesGunner,0,5.1121264,-23.121538
Besmartstaybra1,0,4.9471965,-20.6686
Betramobet,0,5.5845323,-24.197073
BigUncleSam_,0,5.2460365,-23.899218
Bijan_Cyrus,1,-10.100525,10.321058
BillDeGrandpre,0,2.279145,-9.895098
BillForMor,1,3.4553242,19.80293
BillGoodMMA,0,3.3073425,-8.544336
BillSte76080792,0,1.6677418,-19.014618
BioSoft_Inc,0,3.9411492,-7.709295
BiomedJ,2,-36.105045,56.257957
BishesBrew,0,2.1270156,-18.159319
Biz_Lounge,0,5.4699383,-23.68766
BlaqHell,1,-6.4114904,28.679174
Blaueve,0,3.9339283,-7.708117
BlueBoy8000,0,5.4606576,-23.990805
BlueCherubSky,0,6.3086042,-22.356823
BlueVotr,0,5.4251204,-23.975239
BobOxide456,1,-8.986665,10.624803
Bobby39502774,2,-34.691124,57.928818
BobsBlitz,1,-9.276455,26.744165
BohannonSmith1,0,4.549803,-21.660824
BolassietteA,2,-34.86439,57.85025
Bompi_Tortilli,1,1.5328653,18.726923
BondLawFirm,2,-36.04152,56.107735
BornThisWay1966,0,-10.087863,-7.265737
BornToBeMighty,0,6.295025,-22.37206
BosBizAllison,0,5.640826,-24.005852
BoseAvinandan,0,4.890294,-24.121862
Bot_Corona_V,2,-34.490616,57.911224
Bots4Humanity,0,3.595127,-22.462057
BradBellflower2,2,-35.075626,57.10744
BreezyLovinInWV,2,-35.242443,56.506496
BreguKarina,2,-34.310814,57.53712
BrexitBrit,2,-34.230743,56.987835
BridgeBeijing,0,4.0158033,-7.486622
BridgetAshmore,0,4.2876635,-7.228084
BritishHeraldUK,0,5.5570955,-24.1828
BrreniceJ,2,-8.640507,47.173508
Brunasilva1110,1,3.228073,19.1196
BryanAn73380059,2,-34.784107,56.218285
BryanKiprono2,0,3.2766993,-20.293995
Btcfantacy,1,-10.11012,10.171534
Buck68122266,0,5.420489,-23.834154
BunnysBrew,1,-8.845864,27.231422
Burgerfacemcta1,0,5.5210304,-24.073578
CBSNewYork,2,-34.77287,56.028454
CCTVAsiaPacific,0,5.5778766,-23.651669
CECLibrary,2,-34.618435,56.122692
CEEC86_Shuang,0,1.8768318,-9.773426
CEPIvaccines,0,5.069448,-24.45734
CE_Author,1,-7.266244,28.757645
CGArcheta_,2,-8.453477,46.819054
CGH54,1,-10.209753,10.265056
CHBionegocios,2,-35.368675,55.99612
CIDRAP,0,3.3561916,-8.633682
CJBlackwood2,0,19.92713,-8.841905
CNBCTV18News,2,-34.676376,56.757957
CNelimah,1,-7.695879,11.0639515
CORANEWSONLINE,1,-6.9714775,11.705269
COVID19TRACKES,2,-35.91216,56.06139
COVID71825514,2,-35.99084,55.861816
COVIDLive,2,-34.502857,57.651035
COVID_CAN,0,-9.789281,-7.266924
COVID_Evidence,2,-34.970947,55.98944
COVID_Papers,0,4.6056557,-23.724993
