node,cluster,x,y
AARP,0,14.220799,4.7839093
AARPGA,1,0.14754453,10.672135
AASMorg,1,-5.2109747,-2.3553665
AAUniversities,1,-4.766256,-1.0980371
AAkinsella,0,13.171185,1.1588253
AAlmutwah,1,0.5389123,9.536902
AB1ackSheep,1,-5.383852,-1.4563341
ABA_Colorado,0,5.4470553,7.6152678
ABCHK12345,1,-5.7300224,-1.995107
ABMckinley,1,-5.111015,-1.1775151
ABNetworkOnline,1,6.9236326,-14.908441
ABPNews,1,0.6250753,10.430241
ABR15743285,1,4.2790656,-8.523708
ABSCBNNews,1,-0.9590528,3.4420834
ABatemanHouse,1,6.8365254,-15.014654
ACFEMumbai,1,-5.7676306,-2.1997547
ACIFellows,0,15.129601,-1.1998985
ACLR91988675,1,3.0920837,2.4507585
ACPinternists,1,-5.479161,-2.3382516
ADFmagazine,0,15.716884,-8.815373
ADXLabs,1,-6.755782,-1.463036
ADelgersaikhan,1,6.812578,-15.049876
AE99892431,1,-5.0775414,-2.3869145
AED30815553,1,0.47547564,11.001235
AFayeJo,1,-5.1132374,-0.77972555
AG82749150,0,15.218987,5.0915985
AGA_Gastro,0,16.785128,-1.1784961
AGA_TIGE,1,-3.2568378,-4.2121277
AGG7,1,-5.3537674,-2.2618442
AGavrilin60,0,4.6607695,3.3890033
AGraxiano,0,16.020483,-8.221341
AHSparesLtd,0,19.61754,-7.8166804
AHaglington,0,11.747679,13.076857
AHotSet,1,3.4917674,-9.736949
AISecureTech1,1,-6.13179,-1.7722334
AImperical,1,4.2128196,-9.439371
AJBell,0,17.353277,1.5725609
AJBlackston,0,12.0431595,-5.9156156
AJCPjournal,0,16.791828,-1.185982
AJCastorina,0,13.315939,-7.159647
AJHillboHill,0,19.49357,-7.8390613
AJack,0,5.1191525,7.451019
AKMacTavish,1,3.3556366,3.0311992
AKNewsNow,1,-4.9423056,-2.1701434
AKTC3,0,14.330071,4.68822
ALAKHIR14,1,3.4122503,4.3084407
ALBERTOSEVERIN7,0,5.048374,7.3379016
ALIASocial,1,-4.909301,-1.0893881
ALMur7,0,14.291254,4.922218
ALNewsNetwork,0,14.971606,4.959795
ALPHANEWS75,0,17.05608,-7.589262
ALinnean1000,1,1.6606593,-9.403635
AM900CHML,0,13.361987,-7.1833634
AMDApaltc,1,6.8819437,-14.992959
AMFChina,1,4.536008,3.3975308
AMJCA99,1,-5.3846626,-0.71944255
AMUdisastercrew,0,14.428917,5.4833584
ANBorough,1,-5.406768,-1.7703334
ANCALERTS,1,-0.96493304,3.4497898
ANDigitalOK,0,18.07432,-7.271963
ANI,1,-5.4425645,-0.73123443
ANUCrawford,1,-6.435247,-1.1244121
ANoiLaParola,0,5.133563,7.411068
APAAACI1,0,13.075964,-5.7124276
APAuckland,0,14.113024,4.5442204
APPRISE_CRE,0,14.211176,5.300282
APPSPolicyForum,1,-5.269072,-1.415943
APublicLifePH,1,-6.1540284,-1.1838287
ARRukshana,0,11.113827,-3.3534396
ARapstan,1,2.1042924,15.772268
ARhysTay,1,-5.0623083,-0.61393225
ARosdyy,0,11.9903555,12.87374
ASAnews,1,-6.3748713,-1.07277
ASHAPAT53041764,1,4.574968,-2.8178048
ASaidiani,0,14.142468,5.0776715
ASoundFooting,0,11.767243,12.442767
AStone_85,0,19.467201,1.8008049
AVHernandezDiaz,1,-6.239338,-1.4242785
AVeryChizzyAnn,1,0.1488893,11.061554
AWShepard2,0,12.076262,-5.4989414
AWatt842,1,-5.909227,-1.9948463
AWumman,0,4.5650263,4.653844
AZIndivisible1,1,-5.34405,-1.4495357
AZpuzzled23,1,3.0256412,4.052171
A_Liberty_Rebel,1,-4.947155,-2.2416964
A_for_Asyraf,0,11.600136,13.11443
AaMukujaya,1,3.137736,4.3526144
Aa_Facility_Svc,0,19.65928,-7.7827396
Aabhas24,0,5.012863,7.32977
Aadawe,1,-6.0040307,-1.9912916
