node,cluster,x,y
3787Nina,0,-0.6742719,5.8437176
3825_tRump,0,-1.8823528,6.0073876
3KX96,1,10.783421,-2.5667853
3NTHALPY,2,-11.449585,4.6234417
3RRutledge,0,1.2341245,6.3596587
3Serag,0,-3.658241,5.041252
3_coins,1,10.497586,-2.4402032
3_i_n,9,18.144104,6.667531
3hicksawoods,0,1.3425416,4.9374537
3inawy20,1,10.895998,-2.7167008
3rdbaseSam,0,-2.3004584,5.5276804
3than,0,-1.8902597,3.302088
3under3,0,-2.4931893,4.0901184
3waishh,1,11.714969,-2.34327
3washe_alsweedi,1,11.173696,-2.161895
413_og,0,-0.83292973,3.994215
420meds2,3,-4.3859167,-11.864338
423ZB,0,-0.34241095,4.9624224
42Sz40,1,5.410217,-0.9062276
4576emono,0,-2.752888,4.9264865
45HarisonHarold,1,7.727663,-3.022939
45KR_Jr,0,0.38303488,5.364707
45OutVia25,0,-3.1799493,5.8945246
45isImpeached,0,-2.1104348,5.3041835
4761a995554645f,6,8.038825,-14.578019
49nersutefan,0,-1.5375682,4.825373
4EverSNP,5,-7.6550946,-8.34456
4Gin4Fan4Ever4,0,-0.19161625,5.663634
4Lyfgozon,0,-0.9602329,4.298779
4Mccollum,8,-18.01068,0.969314
4Spaniels_5,0,-0.49408028,4.853432
4_DeadInOhio,1,6.976364,-0.39492768
4ahealthyhabit,3,-4.033651,-11.849922
4counting,0,-0.7386497,4.863954
4eebd9613de3404,0,-2.9696038,3.176639
4everNeverTrump,5,-8.046984,-3.7126727
4everageekgirl,0,-0.54178196,5.488368
4got10American,1,10.818959,-1.3577439
4mSingh,1,10.6029625,-1.8744891
4sutq8,0,-1.3882473,4.3137426
4team_europa,2,-11.554624,4.504634
4wardthink3r,0,-0.96466726,5.7472167
501China,0,0.58333355,6.9342175
5075Ileana,0,-0.9640928,4.556928
50grey50,1,4.413917,-2.8054016
50karatdiamond,0,-1.0044307,3.598253
50smag,0,0.36128822,3.3131447
5141quid,4,9.67679,15.92368
514Eddie,2,-11.808041,4.4563866
5150timez,0,-2.8677015,7.066288
530Nicu,1,11.008101,-2.6228347
5455km629,0,-1.440078,3.972789
55DoxMom,0,-0.46722174,3.765672
55andwhat,7,-4.310916,19.98954
561Pamela,2,-11.477517,4.6244855
56blackcat,6,2.0811527,-16.989641
59Krog,0,-2.9949,4.972034
5_4_3_GO,2,-11.555653,4.3329043
5fec93919a544d3,1,6.9238257,-0.42004806
5ohDavid,0,-1.1469356,3.1110141
5u5an18,1,6.33436,-2.259132
5weetxPeaches,0,-1.3959417,4.6924057
601mech,0,0.26012415,3.836041
60andover,0,-1.4126946,6.421394
618hoodoo,5,-14.209841,-4.648584
61JZ,1,6.0513463,-2.2280345
62Antone,0,-2.2911463,5.517725
63Bowen,1,4.609913,-2.5401056
647_416,1,8.374376,-2.2461095
66camshaft,1,4.5092444,-2.7423675
67Aspirintype,0,-1.7104723,4.521032
67Snowy,0,-2.4061713,5.3073597
67dfm,0,-2.4839478,5.71232
67donnalynn,0,-2.6136978,5.31294
69Bagle,0,-0.8589,2.9268956
69damon420,0,-0.7827396,5.3870945
6MGS7,0,-1.9307852,6.183925
6_farm,3,-3.9039848,-11.659109
6_size,1,11.267942,-2.366455
6amerBr0,0,-0.7612084,7.571149
6bottoms,0,-0.11994335,4.4351673
6nsinvt,0,-0.5455686,6.5570664
6runos,1,11.28741,-1.6952484
708Diogenes,0,-0.2981334,4.315143
716_voter,0,-0.97882015,4.4444675
738PeTey,0,-1.796371,4.891956
73SNAngel,5,-14.212257,-4.727717
757747544,2,-10.188169,11.063811
777Khyros,0,-0.64953524,5.5061755
777Nicky,1,6.094247,-0.9529568
777davinci,4,12.344428,8.589321
787Velez,1,11.037198,-1.9509529
79topper,5,-14.230951,-4.680901
7I00l7,1,3.9427783,-4.2837496
7__vee,1,10.313047,-2.0520022
7bottlecaps1,2,-11.548894,4.232642
7f5207ce6faa41d,1,10.351998,-1.6818968
7kait9,0,-0.89790654,6.5930066
7r0uble,1,4.391157,-2.830629
7raizi,1,10.960237,-1.9637257
7ringscarlos,0,-0.93561393,3.7053866
80rockstar,0,1.0027499,5.6321716
82288Cowboys,0,-2.047066,6.8808613
86GOPFascism,3,-3.9034758,-11.611796
86_45_2020_ok,0,-2.0780897,5.069729
8a8y8ees,0,-0.33402258,4.907208
8f33233ed8bc489,0,-0.62154925,5.908987
8pointedstar,0,-0.53508717,4.7426586
9114ed07e071451,1,11.098357,-1.4083685
911Amelia,1,6.0495334,-2.657428
91Walt,0,-0.10465716,6.2752776
92AcuraGSR,0,-2.2025473,6.38168
92ZId3wUSDVueke,6,5.1620083,-9.456065
930Henrique,0,-0.57992,5.7425375
938boomer,0,-2.704353,5.977964
93ip,2,-10.176286,11.052072
94K_Followers,1,6.817606,-0.39928654
978_962,1,7.033695,-1.4095461
978stargal,1,6.70116,-2.347226
97Samah,1,10.396044,-2.4706109
9876bonbonqueen,2,-10.178921,11.054587
9ATransport,0,-0.21432872,6.0212407
9CZb0iBhtjUZFJu,1,11.386627,-2.4778194
9Joe9,4,12.383821,8.628829
9th_sense,1,10.633583,-2.651449
9xSuspended,0,-1.7186245,5.083673
A11223382251384,1,10.872343,-2.304034
A1Nuski,0,-1.0567279,6.4856257
A37_AS,1,11.370642,-2.4347315
A49792004,7,0.60034335,19.394672
A6EbKXdaABJa959,0,-1.885137,5.4823365
A8420S,0,-0.9011745,4.482692
AA43351740,1,6.4073625,-3.18183
AACToni,0,-0.8942014,4.9261503
AAMIR06580,1,11.619366,-1.8444943
AAlqaisi999,0,-0.50446826,6.253489
AAnngie,0,-0.71027446,6.0129375
ABCDAP,0,-0.7732695,3.3721037
ABCHK12345,2,-10.150566,11.026342
ABHISHEK_RAI07,1,10.874983,-1.6565554
ABR15743285,2,-12.463312,4.56741
ABSFSU1,0,-1.2371904,3.764503
ABatemanHouse,1,3.9498622,-4.280725
ABnormalConnect,1,10.813268,-2.4009163
ABrenna29240305,0,-1.35371,4.100703
ACCORDION1301,0,-1.3869312,4.967194
AClintonvillian,0,-0.4952472,5.3810487
AD4Burlington,6,8.118346,-14.703973
ADAPAC1,3,-4.24408,-11.677797
ADEBIYISODIQ16,0,-1.2563787,4.880978
ADGudmun,0,0.57365686,5.347189
ADR_Rocks,0,0.20559083,3.8762808
ADXLabs,6,5.160906,-9.45757
ADanGrenier,7,-8.405954,17.506922
ADelgersaikhan,1,6.3276386,-2.260866
AF1_4_TheDonald,1,7.7516975,-3.0332897
AFDIT,0,-1.0461963,5.8806305
AFiroz51,0,-0.65584254,5.085039
AFreytesPalau,1,7.3012514,-2.0487416
AFwife69,0,-0.1061014,5.886188
AGG7,0,-1.81507,4.6497536
AGRHaines79,0,-1.5613506,4.604526
AGlobalCitizen,2,-11.556692,4.4623146
AHAkramLodhi,6,8.12653,-14.708017
AHSultanAlolama,1,10.774889,-1.6110375
AHappy_Place,1,5.782739,-2.834995
AHayatu,1,10.155855,-2.3157427
AJBART28,0,-0.75700355,5.0151033
AJ_9342,0,0.7100343,4.7380157
AKAKAnder,0,-0.2340461,7.2890725
AKDEE81,1,5.640527,-2.347715
AKMshooter,1,7.021608,-1.3756483
AKaye3,2,-11.793437,4.4114723
AKma19981,1,6.8146124,-0.5126174
ALBADIUAE4,1,11.091873,-1.7445642
ALMUTAW21000161,9,18.143974,6.6673927
ALMur7,1,11.401455,-2.5740638
ALTAMIRANA2,1,4.5862126,-2.6521869
ALToheeb,1,10.746278,-1.2872626
AL_Ghala911,1,10.522289,-1.9379451
ALakshm35853529,1,6.079326,-4.525347
ALew4444,0,-2.0961504,6.1296797
AMFGM,0,-0.45515448,3.7861378
AMGrace63,0,-0.53915465,5.6117983
AMMC5500,0,-0.3020216,6.178223
AMaddrey,0,0.28965527,4.201808
AMadolche,0,-0.7794947,3.4247696
APK________,0,-2.0790737,5.2701163
APO_AE_01973,1,4.381773,-2.8102283
AParisDeco,0,0.027551416,6.6420712
APearlfind,0,0.5751407,4.5955567
APiacenta63,0,-2.3915632,3.2647433
AROD17452127,0,0.30172938,6.2712836
ARP_MUFC,1,10.763789,-2.1269617
ARough4,0,-2.7054255,6.258965
ASHEFORGUCCI,0,-1.4336166,3.677347
ASWilemon,0,-2.3079214,4.943525
ASXinvestorsyd,1,11.008517,-1.5592
ASailorScout,0,-1.3139359,5.3780446
ASaiqal,1,10.933418,-2.3838458
ASeyiagara,1,10.769935,-2.2482483
ASky1113,0,-0.008555499,5.174465
ASmilingMom4,1,4.5400987,-2.7842264
ASnarkRangOut,0,-0.057351314,4.2787986
ATeatof,1,5.357835,-0.86825585
AThingForClouds,0,-1.3965362,4.272725
AW69068600,1,6.008362,-2.7287068
AWakeman13,0,-2.619739,3.4133842
AXristodoulidou,1,6.860061,-0.3602762
AZIndivisible1,2,-11.608176,4.185581
A_AyoubM,1,10.552684,-1.4593781
A_CreativeEdge,3,-4.1762743,-11.907139
A_G_Peacock,1,2.82232,-3.5554404
A_K1992in,0,-0.020241607,7.3945436
A_scudder0,0,-0.93349123,5.313523
Aakeeda,1,10.795957,-2.4536803
Aalto_Bio,6,5.160866,-9.457624
AamBhartiya30,1,10.800115,-2.1351118
Aangtweets,4,14.834461,10.293483
AaronBeers2,0,-1.4666909,5.624274
Aaron__Briggs,0,0.5827717,4.7838473
Aaronal16,2,-11.887225,4.5774045
AashaySapre,1,10.676626,-2.157616
AashkaPatel14,0,1.2682152,4.6440496
Ab_raheeem,1,10.956406,-1.849478
Abalee__,1,10.604988,-2.2558014
AbbeyBlackSwan1,0,-0.953782,6.1579013
AbbyDuffy17,1,4.627017,-2.675388
AbbyPark4,1,7.864918,-1.797754
AbbyRani,0,-1.7484745,5.359601
AbbySeeber,0,-1.7074484,5.4712887
AbdinasirOmarA8,1,6.9260206,-0.52535385
AbdirizackM14,1,10.742066,-1.6082168
Abdirizaqhassa6,1,10.535415,-2.321369
AbdoAliDola1,1,11.405116,-1.9317378
AbdulAbdullah22,1,11.067364,-2.445998
AbdulHadi_Mohd,1,5.3747025,-0.90536916
AbdulHayee55,1,10.795698,-2.6907725
AbdulazizZurub,9,18.146057,6.669658
Abdulla09806610,1,11.111955,-2.4296381
AbdullahYounnis,1,11.376723,-1.9331453
AbdullahiUDK,1,10.475484,-2.185513
Abdullaslamry32,1,10.772333,-1.9399508
Abeer22581093,1,10.362654,-2.3183043
AbhiMish27,1,5.7098713,-2.335994
Abhisek41008290,0,-3.5734112,5.3362474
Abhishe67839304,1,5.654865,-2.3588455
Abhishekv766,1,10.30903,-2.2304828
AbidMarzouq,1,10.521515,-2.323865
Abimberry,1,10.641006,-1.924775
AbiodunKabiri,0,-0.1857999,5.954593
Abiodun_Uturn,1,10.843429,-1.8433182
Abiola_j360ent,1,10.974337,-2.1825175
AbironDelocenma,1,10.682255,-2.5723093
Abizzare1,1,6.3358397,-2.2891176
AbrahamDoodle,2,-11.797602,4.3298316
Abrantier_,0,-0.54926383,7.036047
AbridgedThe,0,-1.544046,3.7445123
AbsterYinYang,0,-0.04985292,5.2658544
AbstractPoetic1,0,0.7238911,3.7558155
AbubakarMundir,1,6.9590364,-0.31329858
Abubakarmasud7,1,10.365096,-1.9923646
Acamus27,3,-4.1769986,-12.017297
Accelerationis1,0,0.5528466,6.3352904
AceAcierno,0,-1.9743868,6.159433
AceSocialist,0,-2.042326,4.7228827
Acertijo,0,-1.8010281,4.2757087
Acielee13,1,4.946489,-3.9127643
AcifKazy,9,18.144678,6.6680436
Ackemk,0,-0.35915995,3.958673
AcnhElsewhere,0,0.61744994,4.155111
Acting_gal_Kate,0,-2.931076,3.8282335
ActionGangster,0,-0.8043435,6.7501116
ActorDeborah,0,-1.0351335,4.6645894
AcuffLori,0,-0.5440243,5.926183
AcuteHypocrisy,2,-11.435782,4.5896654
AdakCharley,0,-2.2749348,4.4133377
AdalgisaRodri16,0,-0.060053732,5.1109233
AdamCrosswhite3,0,-1.2530575,5.619729
AdamMbamuala,2,-11.875214,4.612146
AdamMorlad,0,-3.0219495,4.9009004
AdamSwannRacing,7,0.60063446,19.395365
AdamY888,3,-4.3334637,-11.852338
Adanafibch,0,-1.4283501,5.34095
Adarchism,1,5.377823,-0.89425135
Addicted2Twiff,0,-1.3006324,5.484112
AddieWoolf,0,0.006860304,5.4047785
AddsEvery,2,-11.660678,4.418888
AddyNovaSaridi,0,0.67207795,5.5203834
AdeResists,7,-4.280002,20.01938
AdedayoAdebo1,0,-1.2842277,3.518024
AdedayoAdeboye,0,-1.6305116,4.3052235
Adel02374200,0,0.4978062,3.9143205
AdelugbaAbayomi,1,11.420669,-2.3712564
Adeniyi39230782,1,10.6383295,-1.9347647
Adesanmi01,1,10.854091,-1.4664762
AdeyinkaOlowoh,0,0.3092728,4.058941
AdiAmorim,0,-3.0628598,5.1245875
Adm_deRuyter,1,5.6914234,-3.0930223
Adnan44814035,0,-0.46702418,5.0724206
AdorkableWriter,5,-14.281372,-4.704091
AdriFari_,0,0.75946325,5.3452883
Adriana11605129,1,5.5600815,-1.5707337
AdvaithSKumar2,0,-1.79603,5.6749825
Adveith,1,4.7579684,-1.5004718
AdvocateCal,0,-0.8990214,5.8870163
AeAlamiri,1,10.786633,-2.6526642
Aeey00996468,1,3.9284418,-4.2980094
Aejlex,2,-11.47439,4.3469386
AerialBolero,1,5.3090143,-1.7377211
AerogelMaker,0,0.12828416,6.610277
AfiaSalma9,2,-10.079279,3.394591
Afiano4life,1,11.030789,-2.0624967
Afoo02,1,10.450673,-1.8160039
AfraCadaver,0,-1.1215507,6.3077025
AfrahTaher,1,11.505253,-2.0060446
AfricaClear,1,7.0691166,-4.313352
Africanfighter,0,-1.36135,4.5290837
Afroholicness,0,-2.0410066,6.5930133
AgTerzo,0,-1.1790763,5.388437
AgainstBigboss,0,1.0277334,4.918443
AgapeoMalecela,0,-0.31261045,4.476912
AgeReimagined,0,-0.827956,7.5328226
AgentAscension,7,-2.8517725,16.710585
AgentSaffron,1,10.922608,-2.070583
AggiN88,1,7.343849,-2.657015
Aglo7877,0,-1.4044443,3.9950998
AgnesBowker,0,-0.31677437,5.0504303
AgnostikJ,0,-1.6967908,5.830828
AhMairza,0,-0.882134,6.89401
Ahemd_Ossama,0,0.7968914,6.0026665
AhmadAAAG,1,10.763179,-2.1160674
AhmedMohammed,1,10.325568,-2.2639875
Ahmet68463589,0,-0.22528754,6.353489
AiderCruise,2,-11.664897,4.436842
AikaWalker,1,5.1948,-0.6653213
AikenEnt,0,-0.6433375,4.6257343
Aileen95139877,8,-18.032671,0.95408154
AileenSabira,0,-1.7919507,3.1743128
AimeeWehrle,0,-0.69051194,6.429244
Aimz2424,0,-1.3839267,4.8194304
AinasChafik,1,10.826315,-2.1378357
Aislinn,0,0.7884897,4.3389897
AissaCeleste,0,-0.42407963,4.4784956
Aisyy1101,2,-10.101696,3.3795528
Aitemej1,2,-11.92949,4.4945717
AjC7j,0,0.8392905,4.3564587
AjHenreid,1,8.216918,-2.059639
AjadeanPiper,0,-0.28509897,6.2860794
AjalaRahman,1,10.410187,-2.0103474
AjeeshAhmed,0,-0.42380142,5.6267376
Ajitkum85387448,1,5.659807,-2.3666747
AjleDr,0,-1.5585912,4.4510427
Akazo,1,6.2680764,-0.9082277
AkelaPink,1,11.781166,-6.911439
Akg316Arvind,1,10.405274,-2.1030269
Akhil_Aqeel,0,-2.3609588,4.2871714
Akhilesh1810,1,11.374888,-1.7633187
AkiliNzuri,1,10.814219,-1.7714387
Akinshe1,1,6.2807493,-3.1333482
Akinswaggs,1,11.318466,-1.7772677
Akkala1800,0,0.78073996,4.365103
AkoredeSharaf,1,11.11169,-1.6814508
Akosi_MARI,1,11.274531,-2.60129
AkosuaForiwaa_,0,0.12579714,5.6962423
AkporGbemre,1,11.046059,-1.524846
