,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
71293,2020-11-02 16:21:58,6nsinvt,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323299318959398917,0,0,0,0,1.3232912756137574e+18
82043,2020-11-02 16:21:58,6nsinvt,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323299318959398917,0,0,0,0,1.3232912756137574e+18
92793,2020-11-02 16:21:58,6nsinvt,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323299318959398917,0,0,0,0,1.3232912756137574e+18
9842,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
20592,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
31342,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
42092,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
52842,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
63592,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
74342,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
85092,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
95842,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
554,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
11304,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
22054,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
32804,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
43554,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
54304,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
65054,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
75804,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
86554,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
4096,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
14846,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
25596,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
