,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
15,151,117631,2020-11-02 16:27:25,AddsEvery,False,False,"@realDonaldTrump https://t.co/WymWHoOF0j  Truly #MAGA Americans🇺🇸 #coronavirus is Not only Deadly, some folks who survive are suffering long term DAMAGE to everything from BRAINS to Hearts. #mask #MaskUp #Masks #MasksSaveLives , WHOLE WORLD KNOWS they do.",,,,MAGA;coronavirus,,1323300690895216641,0,0,0,0,
16,152,117753,2020-11-02 16:28:53,AddsEvery,False,False,"@realDonaldTrump Boris Johnson announces further COVID-19 restrictions across the whole of England"" https://t.co/PumN9XpNVv  Beseech you #MAGA folks #MaskUp #mask #MasksSaveLives  Whole WORLD knows it is True.""",,,,,,1323301062267338752,0,0,0,0,
17,177,114496,2020-11-02 15:45:16,AdeResists,True,False,RT @Cleavon_MD: My stepfather died alone of COVID-19 as Donald Trump throws unmasked rallies https://t.co/umaqc0tTy2,,,,,,1323290084930686978,0,0,0,0,1.3231822310623724e+18
18,178,121590,2020-11-02 15:45:56,AdeResists,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323290253646581760,0,0,0,0,1.3232710584562565e+18
19,179,122213,2020-11-02 15:59:11,AdeResists,True,True,RT @JohnJHarwood: what’s phony here is @RichardGrenell misrepresenting a photo of Biden from 2019,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,JohnJHarwood;RichardGrenell,1323293588764168197,0,0,0,0,1.323287997564027e+18
20,188,121727,2020-11-02 15:48:33,Africanfighter,True,True,RT @JohnJHarwood: what’s phony here is @RichardGrenell misrepresenting a photo of Biden from 2019 https://t.co/FIssRgTNcq,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,JohnJHarwood;RichardGrenell,1323290912689147912,0,0,0,0,1.323287997564027e+18
21,197,114016,2020-11-02 15:39:23,Afsanehbaf,False,False,"@Malpani_Ankit @ConciousVegan Let’s hope so and still the same people refusing to wear a mask, won’t wanna take the vaccine, so it’s gonna take longer to get everyone onboard...",,,,,Malpani_Ankit;ConciousVegan,1323288603133415424,0,0,0,0,
22,206,116712,2020-11-02 16:15:22,AirMedToday,False,False,The ‘dose’ of coronavirus a person gets may determine how sick they get; masks could help - CNN https://t.co/fTjWnemeIR,,,,,,1323297659034230784,0,0,0,0,
23,215,120787,2020-11-02 15:30:22,AlexLadino,False,True,#WWG1WGA #COVID19 #lockdown2uk #coronavirus #QArmy @DanScavino,"Wait, is this @ChrisCuomo not wearing a mask while getting a haircut in NYC near 80th &amp; Broadway?!  Would be a shame if everyone saw his hypocrisy https://t.co/xURkPk0Q8t",,,WWG1WGA;COVID19;lockdown2uk;coronavirus;QArmy,,1323286336888098816,0,0,0,0,
24,232,123000,2020-11-02 16:17:49,AliAdair22,True,True,RT @electroboyusa: URGENT!  Only a few more days to CRUSH #QAnon candidate Rich McCormick for Congress in #GA07 in Georgia!  We're ramping…,The pandemic is not over. We have to step up and look out for our communities — wear a mask to protect yourself and others. #MaskUpGA https://t.co/zh6Q5jY9bG,,,QAnon;GA07,,1323298276880322560,0,0,0,0,1.3228195665279017e+18
25,233,123520,2020-11-02 16:28:56,AliAdair22,True,True,"RT @joelockhart: since this picture was taken in 2109, it should scare all Americans that someone that can be taken in so easily was runnin…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323301074120355840,0,0,0,0,1.3232723554147082e+18
26,242,110861,2020-11-02 15:02:05,All435Reps,True,False,RT @RepBera: Slow the spread. Wear a mask. 😷  https://t.co/Az9bRsj9mp,,,,,,1323279219800104960,0,0,0,0,1.3232791975031316e+18
27,251,121654,2020-11-02 15:46:54,AllanVoorhis,True,True,RT @JohnJHarwood: what’s phony here is @RichardGrenell misrepresenting a photo of Biden from 2019,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,JohnJHarwood;RichardGrenell,1323290495620128770,0,0,0,0,1.323287997564027e+18
28,260,113612,2020-11-02 15:34:47,AllisC4,True,False,"RT @DrEricDing: Let me be clear:  📍#COVID19 is airborne.   📍Airborne viruses require masks.   📍Masks work. Premium masks (surgical, KN95, K…",,,,,,1323287445073502209,0,0,0,0,1.323060676559065e+18
29,269,118262,2020-11-02 16:35:25,AlstonCeleste,True,False,"RT @Crankyb4covfefe: @michpoligal @freep I am diabetic &amp; fear COVID-19 as well. Unlike this jerk, I wear a mask, take all precautions and w…",,,,,Crankyb4covfefe;michpoligal;freep,1323302706648371202,0,0,0,0,1.323271383837823e+18
30,278,119935,2020-11-02 15:04:39,AlwaystrumpOrg,False,True,What state is that!? Asking for a friend! #StuckInABlueState #Virginia! #GoTrump2020 #VoteRedToSaveAmerica #Trump2020 #USA🇺🇸🚀,Gavin Newsom is banning singing during Thanksgiving.  Gretchen Whitmer will FIND YOU if you attend a restaurant  Broward County tried enforcing a rule that you must wear a mask inside your own damn house!  I am so glad I live in a normal state.,,,StuckInABlueState;Virginia;GoTrump2020;VoteRedToSaveAmerica,,1323279865467015168,0,0,0,0,
31,287,119225,2020-11-02 16:42:23,AmandaVicy,True,False,RT @BernieSanders: Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!,,,,,,1323304457686388736,0,0,0,0,1.323304088143016e+18
32,304,117628,2020-11-02 16:27:23,AnalystHealth,False,False,"@SNaasMisterG @ddale8 The original tweet shows we were right.   Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/3EaR41wq31",,,,,SNaasMisterG;ddale8;JoeBiden,1323300685966942208,0,0,0,0,
33,305,123304,2020-11-02 16:24:33,AnalystHealth,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323299970456391686,0,0,0,0,1.3232710584562565e+18
34,314,118053,2020-11-02 16:32:38,AndrewW66619812,True,False,RT @avaltd: Low humidity increases COVID-19 risk: Another reason to wear a mask: Dry air could prompt further disease spread https://t.co/X…,,,,,,1323302003322347520,0,0,0,0,1.323292925023953e+18
35,323,112438,2020-11-02 15:21:32,AngelaBodden56,True,True,RT @Biomaven: Likely some mixture of weaker male immune systems and men less likely to wear masks (= bigger inoculum).,"In the U.S., men account for 2/3rds of Covid-19 deaths among the middle aged, @jon_kamp and @wsj_douglasj report. This disease is more aggressive in men than women."" https://t.co/xfhTQzSmme""",,,,,1323284113818849282,0,0,0,0,1.323275171004928e+18
36,332,114624,2020-11-02 15:46:46,AnnH1958,True,False,RT @HausofHilton: “Masks are not political. Wear a mask because it’s a sign of respect” - Lady Gaga  Yes. Wear it as a respect to the peopl…,,,,,,1323290462338359296,0,0,0,0,1.3231492498407014e+18
37,341,121550,2020-11-02 15:45:18,ApiWenuwen,False,True,"මිලියන 12 ක් විකිනුනු කොරෝනා වයිරස් මුහුණු ආවරණ, අපි තවමත් සිටින්නේ කොතනද ? #srilanka #covid19 #coronavirus @Neetwit @GMOAMU @GotabayaR @WHOSriLanka",“I basically did not want the experience to happen again or to have anyone else go through that experience.”  JHU alum Allysa Dittmar shares why she and her team created @the_clearmask: https://t.co/TTvrR9Mnsx,,,srilanka;covid19;coronavirus,,1323290092916613123,0,0,0,0,
38,350,119193,2020-11-02 16:42:17,Arkie200,True,False,RT @BernieSanders: Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!,,,,,,1323304432617050112,0,0,0,0,1.323304088143016e+18
39,359,124123,2020-11-02 16:42:02,Arriadna,True,True,"RT @donwinslow: Dear @Twitter   This is manipulated and should be taken down.  The photo on the left is actually from 2019, not 2020.  Twit…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,donwinslow;Twitter,1323304370369404930,0,0,0,0,1.323148031999402e+18
40,368,112474,2020-11-02 15:21:57,Artemasciencia,False,False,"44.) Ramp up large scale manufacturing of as many vaccine candidates as necessary 45.) Nationwide vaccination campaign to guarantee fair distribution 46.) Ask every American to wear a mask 47.) End the mismanagement of the asylum system, which fuels violence and chaos at  border",,,,,,1323284215937552390,0,0,0,0,
41,377,112567,2020-11-02 15:22:57,Artist_Angie,True,False,RT @SaintRPh: If you vote for Biden he said he will make it mandatory NATIONWIDE to wear a mask! A mask for the next 4 years. Is that what…,,,,,,1323284469302919168,0,0,0,0,1.3232671064446157e+18
42,386,121237,2020-11-02 15:40:11,Aryss1,True,True,RT @JohnJHarwood: what’s phony here is @RichardGrenell misrepresenting a photo of Biden from 2019 https://t.co/FIssRgTNcq,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,JohnJHarwood;RichardGrenell,1323288804799651842,0,0,0,0,1.323287997564027e+18
43,395,115210,2020-11-02 15:54:59,AwlllegsKarla,False,False,"@FoxNews Biden’s plan on his campaign website he finally update touting nationwide mask mandate besides vaccines, free vaccines, more PPE etc. nothing different actually. We still need to wear a mask social distance and wash our hands. It’s not rocket science",,,,,,1323292530356748292,0,0,0,0,
44,404,123099,2020-11-02 16:20:14,AyeTheresTheRob,True,True,"RT @DanLamothe: Hours later, this tweet is still up.  The photo on the left is from last year, and taken before the pandemic. https://t.co/…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323298885595406338,0,0,0,0,1.3231187826976113e+18
45,413,117456,2020-11-02 16:25:19,BAU750,True,False,RT @kumailn: Trump’s coronavirus adviser and a massive source of Covid disinformation. He says masks/social distancing don’t work etc. And…,,,,,,1323300164975710209,0,0,0,0,1.322966303515136e+18
46,430,118843,2020-11-02 16:41:31,BBoullion,True,False,RT @BernieSanders: Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!,,,,,,1323304239431561219,0,0,0,0,1.323304088143016e+18
47,431,122147,2020-11-02 15:58:06,BBoullion,True,True,"RT @steve_vladeck: Dear @RichardGrenell:  As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,steve_vladeck;RichardGrenell,1323293316033765376,0,0,0,0,1.323289309210882e+18
48,448,114866,2020-11-02 15:49:52,BGHeaven,True,False,RT @Cleavon_MD: My stepfather died alone of COVID-19 as Donald Trump throws unmasked rallies https://t.co/umaqc0tTy2,,,,,,1323291241384189956,0,0,0,0,1.3231822310623724e+18
49,449,121561,2020-11-02 15:45:30,BGHeaven,True,True,RT @AlexandraChalup: The former acting DNI pumping disinformation 48 hours before Election Day by using a pre-pandemic photo to paint a fal…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323290143751589888,0,0,0,0,1.3232884161764516e+18
50,466,112722,2020-11-02 15:25:05,Barb20011,True,False,"RT @Seekthetruth101: If you will wear a mask to keep your job , you will take a vaccine to keep your job , for a lot of people this is CHEC…",,,,,,1323285006731612160,0,0,0,0,1.3232407574619628e+18
51,467,121030,2020-11-02 15:36:49,Barb20011,True,True,RT @Qaffles: Coronavirus is a mind control experiment on a global level. Project MKultra.,I still find it surreal that they've managed to convince the vast majority of asymptomatic people to wear unhealthy masks out in public.,,,,,1323287960356376577,0,0,0,0,1.3232856904241684e+18
52,476,116108,2020-11-02 16:06:38,BarbLettieri,True,False,"RT @DrEricDing: Let me be clear:  📍#COVID19 is airborne.   📍Airborne viruses require masks.   📍Masks work. Premium masks (surgical, KN95, K…",,,,,,1323295463097933824,0,0,0,0,1.323060676559065e+18
53,485,124114,2020-11-02 16:41:55,BaszkoM,True,True,RT @MollyJongFast: Trumpworld is desperate https://t.co/ymCM8Mz5rc,"An insane amount of disinformation!  Videos manipulated to make it seem Biden said he was in the wrong state, Eric Trump falsely claiming ballots are being sent pre-filled for Joe Biden, Ric Grenell pushing false claims Biden doesn't wear a mask on a plane using a 2019 photo.",,,,,1323304343559426049,0,0,0,0,1.3233041982268047e+18
54,502,111734,2020-11-02 15:12:45,Bayouself5,True,False,RT @NOPDNews: #MaskUpNOLA: Why is it so important to wear a mask and physically distance? Take a look at this simple breakdown explaining t…,,,,,,1323281901877157890,0,0,0,0,1.3232815160263393e+18
55,503,112209,2020-11-02 15:18:35,Bayouself5,True,False,RT @CityOfNOLA: #MaskUpNOLA: Why is it so important to wear a mask and physically distance? Take a look at this simple breakdown explaining…,,,,,,1323283371712237569,0,0,0,0,1.3232803510542213e+18
56,512,111327,2020-11-02 15:08:04,Bdj68Brad,True,False,"RT @ReddingtonAlice: People who don’t wear a mask, should be punished by not getting a vaccine",,,,,,1323280722241572864,0,0,0,0,1.3105365382629704e+18
57,529,119005,2020-11-02 16:41:51,Beastmode0807,True,False,RT @BernieSanders: Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!,,,,,,1323304326115241984,0,0,0,0,1.323304088143016e+18
58,530,122474,2020-11-02 16:04:15,Beastmode0807,True,True,"RT @joelockhart: since this picture was taken in 2109, it should scare all Americans that someone that can be taken in so easily was runnin…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323294862393937921,0,0,0,0,1.3232723554147082e+18
