,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
915,8243,95162,2020-11-02 15:37:32,raajaaraman,True,True,RT @pbhushan1: Great decision by the Rajasthan government. All governments should do the same and ban firecrackers this time https://t.co/T…,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,,1323288138412781569,0,0,0,0,1.3231940260827505e+18
916,8252,94165,2020-11-02 16:38:06,realASTERISK,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323303381025329156,0,0,0,0,1.3232912756137574e+18
917,8261,87707,2020-11-02 15:36:29,redboybroken,True,False,"RT @BNODesk: Singapore has reached 3 days with no new domestic cases of coronavirus, a first since COVID-19 began spreading in February",,,,,,1323287874431668230,0,0,0,0,1.323279280663679e+18
918,8270,91335,2020-11-02 16:07:49,reidatcheson,False,True,"Proven low (but not necessarily zero"") baseline of infections combined with rapid testing at airports. Still require masks until vaccines distributed....""","The longer the #COVID situation goes on, does it make you more or less likely to want to get back to #travel?  Also, what will tempt you back sooner, business or pleasure travel?",,,,,1323295758796361728,0,0,0,0,
919,8279,94063,2020-11-02 16:36:53,reneayj4,True,False,RT @jennyrachelpal: @Mike_Pence Trump said Coronavirus would disappear w the warm weather of April. He aimed to have 100 million doses of a…,,,,,jennyrachelpal;Mike_Pence,1323303073410895875,0,0,0,0,1.3232842466189066e+18
920,8288,88255,2020-11-02 15:50:17,riotwomennn,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291345855938563,0,0,0,0,1.3232912756137574e+18
921,8305,87914,2020-11-02 15:41:48,robert2hartley,False,True,Unless everyone starts to take hands face space and wear a mask seriously we shall be locking down until a vaccine does the trick,Last night my eldest son &amp; daughter tested positive for Covid 19 after being on a weeks holiday with there father.   My daughter is very poorly &amp; may need to go to hospital &amp; my son is A symptomatic.   The idiots that say it’s not real you really need to give your head a wobble.,,,,,1323289212070801408,0,0,0,0,
922,8306,95636,2020-11-02 15:55:04,robert2hartley,True,True,"RT @HonestCitizen62: Sinn Fein, hate the British, but love our cash.",Coronavirus updates: Michelle O’Neill urges extension of furlough beyond November #coronavirus #COVID19 https://t.co/wFKVhPeWqR https://t.co/0v9hE7vVCR,,,,,1323292552095764480,0,0,0,0,1.32329228679347e+18
923,8323,87631,2020-11-02 15:34:27,rockuntildawn,False,False,@GMB @piersmorgan @susannareid100 No matter what anyone says wear a mask. They save lives. We can't let our guard down until a safe and effective vaccine becomes available. https://t.co/zTE9dhbjV9,,,,,GMB;piersmorgan;susannareid100,1323287363267792896,0,0,0,0,
924,8324,91704,2020-11-02 16:11:05,rockuntildawn,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323296582146629633,0,0,0,0,1.3232912756137574e+18
925,8333,88972,2020-11-02 15:52:39,rodello437_,False,False,"@HegKong Scripted from the beginning.. started with 15 days to flatten the curve.. stay home.. slow the spread...wear a mask..take the test..wait for the vaccine.. The Great Reset is to be your ""New Normal""..oppose this crap.""",,,,,,1323291942575206400,0,0,0,0,
926,8342,90176,2020-11-02 15:59:27,roedio73,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293655474540544,0,0,0,0,1.3232912756137574e+18
